NAME,SUB,ID,POP,DEM,REP,SHARE,VC,RATE,YEAR
"Racine, WI Metro Area",racine,39540,197727,50159,54479,100,291,0.147172617,2019
"Raleigh-Cary, NC Metro Area",raleigh,39580,1413982,450472,315451,100,1222,0.086422599,2019
"Rapid City, SD Metro Area",rapidcity,39660,139074,23891,44938,100,540,0.388282497,2019
"Reading, PA Metro Area",readingpa,39740,428849,92895,109736,100,621,0.144806214,2018
"Redding, CA Metro Area",redding,39820,182155,30000,60789,100,620,0.340369466,2018
"Reno, NV Metro Area",reno,39900,490596,129030,118668,100,1419,0.289240026,2019
"Richmond, VA Metro Area",rva,40060,1314434,406856,300888,100,1068,0.081251702,2019
"Riverside-San Bernardino-Ontario, CA Metro Area",inlandempire,40140,4599839,984199,815401,100,1686,0.036653457,2019
"Roanoke, VA Metro Area",roanoke,40220,315251,68390,96088,100,386,0.122442118,2019
"Rochester, MN Metro Area",rochestermn,40340,226329,62817,62929,100,254,0.112226007,2019
"Rochester, NY Metro Area",rochester,40380,1090135,294234,237163,100,1540,0.141266907,2019
"Rockford, IL Metro Area",rockford,40420,338798,74598,74744,100,1711,0.505020691,2019
"Rocky Mount, NC Metro Area",rockymountnc,40580,143870,42036,35033,100,424,0.294710503,2019
"Rome, GA Metro Area",romega,40660,98584,11917,28906,100,449,0.45544916,2017
"Sacramento-Roseville-Folsom, CA Metro Area",sacramento,40900,2397382,666896,471023,100,3223,0.134438316,2019
"Saginaw, MI Metro Area",saginaw,40980,190124,51088,50785,100,707,0.371862574,2019
"Salem, OR Metro Area",salem,41420,433353,103789,102734,100,719,0.165915547,2019
"Salinas, CA Metro Area",salinas,41500,439035,113953,46299,100,782,0.178117918,2019
"Salisbury, MD-DE Metro Area",oceancity,41540,418046,95537,118484,100,294,0.070327189,2019
"Salt Lake City, UT Metro Area",saltlakecity,41620,1257936,298849,251188,100,1442,0.114632223,2019
"San Angelo, TX Metro Area",san_angelo,41660,122888,12410,33656,100,357,0.29050843,2019
"San Antonio-New Braunfels, TX Metro Area",sanantonio,41700,2558143,529607,495195,100,11046,0.431797597,2019
"San Diego-Chula Vista-Carlsbad, CA Metro Area",sandiego,41740,3298634,964650,600094,100,5215,0.158095745,2019
"San Francisco-Oakland-Berkeley, CA Metro Area",sanfrancisco,41860,4749008,1831985,445799,100,5933,0.124931354,2019
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",sanjose,41940,2000468,635595,225202,100,4559,0.227896672,2019
"San Luis Obispo-Paso Robles, CA Metro Area",slo,42020,282424,88310,67436,100,192,0.067982891,2019
"Santa Cruz-Watsonville, CA Metro Area",santacruz,42100,270861,114246,26937,100,389,0.143616098,2019
"Santa Fe, NM Metro Area",santafe,42140,154823,62530,18329,100,333,0.215084322,2018
"Santa Maria-Santa Barbara, CA Metro Area",santabarbara,42200,448229,129963,65736,100,400,0.089240098,2019
"Santa Rosa-Petaluma, CA Metro Area",santarosa,42220,488863,199938,61825,100,857,0.175304738,2019
"Savannah, GA Metro Area",savannah,42340,404798,92703,90833,100,2409,0.595111636,2017
"Scranton--Wilkes-Barre, PA Metro Area",scranton,42540,567559,131568,149199,100,811,0.142892633,2018
"Seattle-Tacoma-Bellevue, WA Metro Area",seattlewa,42660,4018762,1413544,633325,100,4471,0.111253167,2019
"Sebastian-Vero Beach, FL Metro Area",verobeach,42680,159788,37844,58872,100,19,0.011890755,2019
"Sebring-Avon Park, FL Metro Area",sebring,42700,101235,16938,34873,100,57,0.056304638,2019
"Sheboygan, WI Metro Area",sheboygan,43100,118034,27101,37609,100,172,0.145720725,2019
"Sherman-Denison, TX Metro Area",shermantx,43300,135543,14506,44163,100,179,0.132061412,2019
"Shreveport-Bossier City, LA Metro Area",shreveport,43340,393406,76229,95207,100,1462,0.371626259,2019
"Sierra Vista-Douglas, AZ Metro Area",sierravista,43420,125447,23732,35557,100,116,0.09246933,2019
"Sioux City, IA-NE-SD Metro Area",siouxcity,43580,149940,24824,37941,100,366,0.244097639,2019
"Sioux Falls, SD Metro Area",siouxfalls,43620,276730,54371,74224,100,897,0.324142666,2019
"South Bend-Mishawaka, IN-MI Metro Area",southbend,43780,324501,69026,69863,100,1357,0.418180529,2019
"Spartanburg, SC Metro Area",spartanburg,43900,327997,52926,93560,100,448,0.136586615,2019
"Spokane-Spokane Valley, WA Metro Area",spokane,44060,585784,143604,168384,100,1520,0.259481311,2019
"Springfield, IL Metro Area",springfieldil,44100,208640,50939,58249,100,889,0.426092791,2019
"Springfield, MA Metro Area",springfield,44140,699162,219340,120800,100,1397,0.19981063,2019
"Springfield, MO Metro Area",springfieldmo,44180,475432,74037,151899,100,2571,0.540771341,2019
"Springfield, OH Metro Area",springfieldoh,44220,136001,24076,39032,100,292,0.214704304,2019
"St. Cloud, MN Metro Area",saintcloud,41060,199671,39159,65341,100,298,0.149245509,2019
"St. George, UT Metro Area",stgeorge,41100,180279,20530,67294,100,181,0.100399936,2019
"St. Joseph, MO-KS Metro Area",stjoseph,41140,121467,17412,36509,100,431,0.354828884,2019
"St. Louis, MO-IL Metro Area",stlouis,41180,2820253,741752,693693,100,5792,0.205371646,2019
"State College, PA Metro Area",statecollege,44300,158172,40055,36372,100,54,0.03414005,2019
"Staunton, VA Metro Area",staunton,44420,125433,22782,41916,100,51,0.040659157,2019
"Stockton, CA Metro Area",stockton,44700,779233,161137,121098,100,4380,0.562091185,2019
"Sumter, SC Metro Area",sumter,44940,136700,35629,29361,100,418,0.305779078,2019
"Syracuse, NY Metro Area",syracuse,45060,662057,174941,142266,100,1129,0.170529124,2019
"Tallahassee, FL Metro Area",tallahassee,45220,384298,128918,82271,100,1359,0.353631817,2019
"Tampa-St. Petersburg-Clearwater, FL Metro Area",tampa,45300,3175275,810409,853640,100,1622,0.05108219,2019
"Terre Haute, IN Metro Area",terrehaute,45460,185031,26476,51319,100,157,0.084850647,2016
"Texarkana, TX-AR Metro Area",texarkana,45500,147519,16218,42751,100,157,0.106426969,2019
"The Villages, FL Metro Area",thevillagesflorida,45540,129752,29341,62761,100,259,0.199611567,2017
"Toledo, OH Metro Area",toledo,45780,646604,161700,147879,100,2604,0.402719439,2019
"Topeka, KS Metro Area",topeka,45820,233152,51190,59844,100,895,0.38386975,2019
"Trenton-Princeton, NJ Metro Area",trenton,45940,387340,122532,51641,100,937,0.241906336,2019
"Tucson, AZ Metro Area",tucson,46060,1043433,304981,207758,100,3775,0.361786526,2019
"Tulsa, OK Metro Area",tulsa,46140,1015331,140991,253452,100,3964,0.390414554,2019
"Tuscaloosa, AL Metro Area",tuscaloosa,46220,268674,50334,60778,100,514,0.191309915,2018
"Twin Falls, ID Metro Area",twinfalls,46300,114283,11284,31631,100,201,0.175879177,2019
"Tyler, TX Metro Area",tylertx,46340,233479,29615,69080,100,401,0.171749922,2019
"Urban Honolulu, HI Metro Area",honolulu,46520,1016508,238869,136259,100,2638,0.259515911,2019
"Utica-Rome, NY Metro Area",utica,46540,292264,51912,76731,100,374,0.127966496,2019
"Valdosta, GA Metro Area",valdosta,46660,148126,24093,33718,100,632,0.426663786,2017
"Vallejo, CA Metro Area",vallejo,46700,453491,131639,69306,100,1037,0.22867047,2019
"Victoria, TX Metro Area",vtown,47020,98331,11257,26443,100,347,0.35288973,2019
"Vineland-Bridgeton, NJ Metro Area",vineland,47220,154152,32742,28952,100,211,0.136877887,2019
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",norfolk,47260,1799674,481915,355016,100,581,0.032283625,2019
"Visalia, CA Metro Area",visalia,47300,473117,66105,77579,100,586,0.123859426,2019
"Waco, TX Metro Area",waco,47380,277547,38587,63720,100,799,0.28787917,2019
"Walla Walla, WA Metro Area",wallawalla,47460,62584,13690,16400,100,114,0.182155183,2019
"Warner Robins, GA Metro Area",warnerrobins,47580,191614,38161,48046,100,420,0.219190665,2019
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",washingtondc,47900,6385162,2320658,818418,100,6896,0.108000392,2019
"Waterloo-Cedar Falls, IA Metro Area",waterlooiowa,47940,168461,43811,42863,100,306,0.181644416,2019
"Watertown-Fort Drum, NY Metro Area",watertownny,48060,116721,17307,25629,100,154,0.131938554,2019
"Wausau-Weston, WI Metro Area",wausau,48140,166428,37069,54641,100,156,0.093734227,2019
"Weirton-Steubenville, WV-OH Metro Area",steubenville,48260,116903,16755,40179,100,11,0.00940951,2019
"Wenatchee, WA Metro Area",wenatchee,48300,122012,27160,35701,100,62,0.050814674,2019
"Wheeling, WV-OH Metro Area",wheelingwv,48540,139513,19816,46349,100,229,0.16414241,2018
"Wichita Falls, TX Metro Area",wichitafalls,48660,148128,14221,41438,100,364,0.24573342,2019
"Wichita, KS Metro Area",wichita,48620,647610,114389,163337,100,4451,0.687296367,2019
"Williamsport, PA Metro Area",williamsport,48700,114188,16971,41462,100,71,0.062178162,2018
"Wilmington, NC Metro Area",wilmington,48900,285905,77861,85287,100,759,0.265472797,2019
"Winchester, VA-WV Metro Area",winchester,49020,142632,25756,43812,100,80,0.056088395,2019
"Winston-Salem, NC Metro Area",winstonsalem,49180,675966,151431,204027,100,2679,0.396321708,2019
"Worcester, MA-CT Metro Area",worcesterma,49340,978529,275479,200824,100,1165,0.119056257,2019
"Yakima, WA Metro Area",yakima,49420,256728,43179,50555,100,420,0.16359727,2019
"York-Hanover, PA Metro Area",yorkpa,49620,456438,88114,146733,100,450,0.098589513,2018
"Youngstown-Warren-Boardman, OH-PA Metro Area",youngstown,49660,541243,123227,151240,100,428,0.079077235,2018
"Yuba City, CA Metro Area",yubacity,49700,181208,28597,42051,100,241,0.132996336,2019
"Yuma, AZ Metro Area",yuma,49740,203881,32210,36534,100,376,0.184421305,2019
